fold,seed,train_samples,validation_samples,train_healthy,train_sick,validation_healthy,validation_sick,temperature_min,temperature_max,healthy_class_weight,sick_class_weight,best_epoch,epoch_1_validation_auc,best_validation_auc,epoch_100_validation_auc,validation_roc_auc,validation_pr_auc,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,npv,f1,mcc,tn,fp,fn,tp
1,10,157,40,100,57,25,15,22.0,36.812618255615234,0.785,1.3771929824561404,68,0.88,0.9413333333333334,0.928,0.9413333333333334,0.9526984126984127,0.5,0.9,0.88,0.8,0.96,0.9230769230769231,0.8888888888888888,0.8571428571428571,0.7855533190649869,24,1,3,12
2,10,157,40,100,57,25,15,22.0,36.779998779296875,0.785,1.3771929824561404,89,0.8373333333333334,0.9253333333333333,0.9226666666666667,0.9253333333333333,0.8466745907457982,0.5,0.825,0.8200000000000001,0.8,0.84,0.75,0.875,0.7741935483870968,0.6324555320336759,21,4,3,12
3,10,158,39,100,58,25,14,22.22035026550293,36.812618255615234,0.79,1.3620689655172413,67,0.9314285714285715,0.9885714285714287,0.98,0.9885714285714287,0.9804748822605964,0.5,0.9230769230769231,0.94,1.0,0.88,0.8235294117647058,1.0,0.9032258064516129,0.8512965889470844,22,3,0,14
4,10,158,39,100,58,25,14,22.0,36.812618255615234,0.79,1.3620689655172413,32,0.8828571428571428,0.9114285714285714,0.8971428571428571,0.9114285714285714,0.8408095872381586,0.5,0.8461538461538461,0.8171428571428572,0.7142857142857143,0.92,0.8333333333333334,0.8518518518518519,0.7692307692307693,0.6592443967173135,23,2,4,10
5,10,158,39,100,58,25,14,22.0,36.812618255615234,0.79,1.3620689655172413,23,0.8114285714285714,0.8799999999999999,0.8085714285714285,0.8799999999999999,0.8518083086504138,0.5,0.8205128205128205,0.7971428571428572,0.7142857142857143,0.88,0.7692307692307693,0.8461538461538461,0.7407407407407407,0.6047431568147636,22,3,4,10
