epoch,loss_mean,loss_std,val_loss_mean,val_loss_std,accuracy_mean,accuracy_std,val_accuracy_mean,val_accuracy_std,auc_mean,auc_std,val_auc_mean,val_auc_std
1,0.6835956803619944,0.013814484374630209,0.6549695032682175,0.007104543334478038,0.5305732484076433,0.05269443630706406,0.6598717948717948,0.01244052253405968,0.593118572292801,0.03701827432342849,0.8686095238095237,0.04129608152363067
2,0.6412745978306891,0.015176448063588076,0.6047241142468575,0.008132009582687701,0.6369829879867773,0.025612424323753304,0.7764102564102565,0.0551049444069528,0.6952982456140351,0.033883394479828965,0.8829333333333332,0.04889559055283208
3,0.6087101911591166,0.021698171626923966,0.5853009380438389,0.014523415500755725,0.7183503990969926,0.045764755332210735,0.7764102564102565,0.050105739604903256,0.7516267392619479,0.041922834086178404,0.8874285714285713,0.05339126105805722
4,0.5463405694157464,0.022412406811022054,0.554041490524243,0.0243657162914947,0.751285979198581,0.03341200105853406,0.8023076923076923,0.05087272538437654,0.8371554748941318,0.021692739800320614,0.8935238095238095,0.051401192006436384
5,0.5162862086415262,0.03532750552852776,0.5596994031698276,0.0297024472802712,0.7855680077400629,0.019053795568393626,0.7615384615384615,0.0433325747164669,0.8600387174833635,0.02573883094169623,0.8974095238095238,0.049445153654879545
6,0.5025242751402825,0.022258745386926664,0.5533435565080398,0.07050424136974656,0.7690558735789728,0.017474192990811235,0.7712820512820513,0.061589722240009984,0.8586339987900786,0.013393160703380022,0.8991619047619046,0.05252055509496255
7,0.47838551103612226,0.02514228268847198,0.4956236473107949,0.03688342531457031,0.7677416754011127,0.018485189370425478,0.811923076923077,0.06607180362843143,0.8667695099818511,0.013508491390959205,0.8991238095238095,0.048891286686200006
8,0.4625159899428959,0.03378295848631361,0.5095392868763362,0.06131382741002235,0.8008304442473595,0.037828588195248085,0.7866666666666667,0.04223848262969026,0.8760496067755597,0.025910201545334584,0.9035047619047619,0.04541786436665773
9,0.46424358501113694,0.023314375115084655,0.48540249989582945,0.052481384762108486,0.7868257679593647,0.023003108389302453,0.8020512820512821,0.06753672875140239,0.868519056261343,0.01526896237542241,0.9045333333333334,0.042882853663463144
10,0.42208323933891184,0.036126751891428145,0.46437212381607446,0.045033519885502325,0.820978795452713,0.042352675800951964,0.8271794871794873,0.04986767499956192,0.9029286146400484,0.023933735304367775,0.9039619047619049,0.04378407542441629
