threshold,sensitivity,specificity,accuracy,precision,f1,tn,fp,fn,tp,meets_constraints
0.019,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.02,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.021,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.022,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.023,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.024,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.025,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.026000000000000002,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.027,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.028,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.029,1.0,0.0,0.36548223350253806,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.03,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.031,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.032,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.033,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.034,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.035,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.036000000000000004,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.037,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.038,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.039,1.0,0.008,0.37055837563451777,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.04,1.0,0.016,0.3756345177664975,0.36923076923076925,0.5393258426966292,2,123,0,72,False
0.041,1.0,0.016,0.3756345177664975,0.36923076923076925,0.5393258426966292,2,123,0,72,False
0.042,1.0,0.024,0.38071065989847713,0.3711340206185567,0.5413533834586466,3,122,0,72,False
0.043000000000000003,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.044,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.045,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.046,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.047,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.048,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.049,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.05,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.051000000000000004,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.052000000000000005,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.053,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.054,1.0,0.032,0.38578680203045684,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.055,1.0,0.04,0.39086294416243655,0.375,0.5454545454545454,5,120,0,72,False
0.056,1.0,0.04,0.39086294416243655,0.375,0.5454545454545454,5,120,0,72,False
0.057,1.0,0.04,0.39086294416243655,0.375,0.5454545454545454,5,120,0,72,False
0.058,1.0,0.048,0.39593908629441626,0.3769633507853403,0.5475285171102662,6,119,0,72,False
0.059000000000000004,1.0,0.048,0.39593908629441626,0.3769633507853403,0.5475285171102662,6,119,0,72,False
0.06,1.0,0.048,0.39593908629441626,0.3769633507853403,0.5475285171102662,6,119,0,72,False
0.061,1.0,0.056,0.4010152284263959,0.37894736842105264,0.549618320610687,7,118,0,72,False
0.062,1.0,0.064,0.40609137055837563,0.38095238095238093,0.5517241379310345,8,117,0,72,False
0.063,1.0,0.064,0.40609137055837563,0.38095238095238093,0.5517241379310345,8,117,0,72,False
0.064,1.0,0.064,0.40609137055837563,0.38095238095238093,0.5517241379310345,8,117,0,72,False
0.065,1.0,0.064,0.40609137055837563,0.38095238095238093,0.5517241379310345,8,117,0,72,False
0.066,1.0,0.08,0.41624365482233505,0.3850267379679144,0.555984555984556,10,115,0,72,False
0.067,1.0,0.08,0.41624365482233505,0.3850267379679144,0.555984555984556,10,115,0,72,False
0.068,1.0,0.08,0.41624365482233505,0.3850267379679144,0.555984555984556,10,115,0,72,False
0.069,1.0,0.088,0.4213197969543147,0.3870967741935484,0.5581395348837209,11,114,0,72,False
0.07,1.0,0.104,0.43147208121827413,0.391304347826087,0.5625,13,112,0,72,False
