threshold,sensitivity,specificity,accuracy,balanced_accuracy,precision,f1,tn,fp,fn,tp,meets_constraints
0.004011472221463919,1.0,0.0,0.36548223350253806,0.5,0.36548223350253806,0.5353159851301115,0,125,0,72,False
0.00873512588441372,1.0,0.008,0.37055837563451777,0.504,0.3673469387755102,0.5373134328358209,1,124,0,72,False
0.009885207749903202,1.0,0.016,0.3756345177664975,0.508,0.36923076923076925,0.5393258426966292,2,123,0,72,False
0.01718338392674923,1.0,0.024,0.38071065989847713,0.512,0.3711340206185567,0.5413533834586466,3,122,0,72,False
0.017874402925372124,1.0,0.032,0.38578680203045684,0.516,0.37305699481865284,0.5433962264150943,4,121,0,72,False
0.018910104408860207,1.0,0.04,0.39086294416243655,0.52,0.375,0.5454545454545454,5,120,0,72,False
0.020625680685043335,1.0,0.048,0.39593908629441626,0.524,0.3769633507853403,0.5475285171102662,6,119,0,72,False
0.022132104262709618,1.0,0.056,0.4010152284263959,0.528,0.37894736842105264,0.549618320610687,7,118,0,72,False
0.022683782503008842,1.0,0.064,0.40609137055837563,0.532,0.38095238095238093,0.5517241379310345,8,117,0,72,False
0.022726699709892273,1.0,0.072,0.41116751269035534,0.536,0.3829787234042553,0.5538461538461539,9,116,0,72,False
0.02474801428616047,1.0,0.08,0.41624365482233505,0.54,0.3850267379679144,0.555984555984556,10,115,0,72,False
0.026295725256204605,1.0,0.088,0.4213197969543147,0.544,0.3870967741935484,0.5581395348837209,11,114,0,72,False
0.02686445601284504,0.9861111111111112,0.088,0.41624365482233505,0.5370555555555556,0.3837837837837838,0.5525291828793775,11,114,1,71,False
0.030376411974430084,0.9861111111111112,0.096,0.4213197969543147,0.5410555555555556,0.3858695652173913,0.5546875,12,113,1,71,False
0.03176073357462883,0.9861111111111112,0.104,0.4263959390862944,0.5450555555555556,0.3879781420765027,0.5568627450980392,13,112,1,71,False
0.033984407782554626,0.9861111111111112,0.112,0.43147208121827413,0.5490555555555556,0.3901098901098901,0.5590551181102362,14,111,1,71,False
0.03465886041522026,0.9861111111111112,0.12,0.4365482233502538,0.5530555555555556,0.39226519337016574,0.5612648221343873,15,110,1,71,False
0.03726271167397499,0.9861111111111112,0.128,0.4416243654822335,0.5570555555555556,0.39444444444444443,0.5634920634920635,16,109,1,71,False
0.037433136254549026,0.9861111111111112,0.136,0.4467005076142132,0.5610555555555556,0.39664804469273746,0.5657370517928287,17,108,1,71,False
0.0376422293484211,0.9861111111111112,0.144,0.4517766497461929,0.5650555555555555,0.398876404494382,0.568,18,107,1,71,False
0.039578426629304886,0.9861111111111112,0.152,0.45685279187817257,0.5690555555555555,0.4011299435028249,0.5702811244979921,19,106,1,71,False
0.04007800295948982,0.9861111111111112,0.16,0.4619289340101523,0.5730555555555555,0.4034090909090909,0.5725806451612903,20,105,1,71,False
0.04549280181527138,0.9861111111111112,0.168,0.467005076142132,0.5770555555555555,0.4057142857142857,0.5748987854251012,21,104,1,71,False
0.04792845621705055,0.9861111111111112,0.176,0.4720812182741117,0.5810555555555555,0.40804597701149425,0.5772357723577235,22,103,1,71,False
0.048285286873579025,0.9861111111111112,0.184,0.47715736040609136,0.5850555555555556,0.41040462427745666,0.5795918367346939,23,102,1,71,False
0.0485115610063076,0.9861111111111112,0.192,0.48223350253807107,0.5890555555555556,0.4127906976744186,0.5819672131147541,24,101,1,71,False
0.04924200102686882,0.9861111111111112,0.2,0.4873096446700508,0.5930555555555556,0.4152046783625731,0.5843621399176955,25,100,1,71,False
0.0501510314643383,0.9861111111111112,0.208,0.49238578680203043,0.5970555555555556,0.4176470588235294,0.5867768595041323,26,99,1,71,False
0.052136532962322235,0.9861111111111112,0.216,0.49746192893401014,0.6010555555555556,0.42011834319526625,0.5892116182572614,27,98,1,71,False
0.055549927055835724,0.9861111111111112,0.224,0.5025380710659898,0.6050555555555556,0.4226190476190476,0.5916666666666667,28,97,1,71,False
